feedback_id,faculty_id,course_id,course_name,week_number,student_id,rating,feedback_comment,sentiment_score,sentiment_label,teaching_clarity_score,engagement_score,pace_score,syllabus_coverage_perception,section,semester,program
172,183,PHY101,Engineering Physics,3,S0596,5,Interactive teaching style helps in understanding topics better. The teaching style influenced my learning positively.,0.539,Positive,5,5,5,4,B,3,B.Tech
173,183,PHY101,Engineering Physics,3,S1238,5,The professor motivates us and clears doubts patiently. The topic flow felt slightly abrupt.,0.97,Positive,5,4,5,5,C,3,B.Tech
174,183,PHY101,Engineering Physics,3,S2450,5,"One of the best courses, very well taught. The topic flow felt slightly abrupt.",0.737,Positive,4,5,4,5,B,3,B.Tech
175,183,PHY101,Engineering Physics,3,S4387,4,Interactive teaching style helps in understanding topics better. The session covered important fundamentals.,0.304,Positive,4,4,4,5,A,3,B.Tech
176,183,PHY101,Engineering Physics,3,S4731,4,Concepts are broken down in a simple and logical manner.,0.51,Positive,5,4,4,4,A,3,B.Tech
177,183,PHY101,Engineering Physics,3,S2268,5,Interactive teaching style helps in understanding topics better. The class environment was encouraging.,1,Positive,5,5,4,5,A,3,B.Tech
178,183,PHY101,Engineering Physics,3,S3216,4,The professor motivates us and clears doubts patiently.,0.42,Positive,3,4,3,4,C,3,B.Tech
179,183,PHY101,Engineering Physics,3,S2036,5,I enjoy attending this class; explanations are very crisp. The topic flow felt slightly abrupt.,1,Positive,5,5,5,5,C,3,B.Tech
180,183,PHY101,Engineering Physics,3,S4539,4,I enjoy attending this class; explanations are very crisp. The session coverage was appropriate.,0.42,Positive,4,3,4,4,C,3,B.Tech
181,183,PHY101,Engineering Physics,4,S0837,4,Concepts are broken down in a simple and logical manner. The session covered important fundamentals.,0.433,Positive,5,4,5,5,B,3,B.Tech
182,183,PHY101,Engineering Physics,4,S3114,3,"Sometimes the pace is fast, but manageable overall. This is for the course Power Systems.",-0.185,Neutral,3,3,2,3,B,3,B.Tech
183,183,PHY101,Engineering Physics,4,S0190,4,Explains concepts very effectively with relatable examples. The lecture pacing affected my understanding.,0.255,Positive,3,3,4,5,A,3,B.Tech
184,183,PHY101,Engineering Physics,4,S4420,4,Amazing clarity and teaching methodology. The lecture pacing affected my understanding.,0.374,Positive,5,4,4,3,C,3,B.Tech
185,183,PHY101,Engineering Physics,4,S3908,2,Struggle to understand most concepts in class. The session coverage was appropriate.,-0.339,Negative,2,3,2,2,C,3,B.Tech
186,183,PHY101,Engineering Physics,4,S2776,4,I enjoy attending this class; explanations are very crisp.,0.51,Positive,5,4,3,5,B,3,B.Tech
187,183,PHY101,Engineering Physics,4,S2464,5,Concepts are broken down in a simple and logical manner. The topic flow felt slightly abrupt.,1,Positive,5,3,4,4,A,3,B.Tech
188,183,PHY101,Engineering Physics,4,S0495,4,Concepts are broken down in a simple and logical manner. I would appreciate more doubt-solving time.,0.509,Positive,4,5,3,4,A,3,B.Tech
189,183,PHY101,Engineering Physics,4,S3336,3,I understand most topics but sometimes feel disconnected. The session covered important fundamentals.,0.056,Neutral,3,2,3,2,A,3,B.Tech
190,183,PHY101,Engineering Physics,4,S4233,4,The sessions are well-organized and engaging. The examples used were memorable.,0.592,Positive,5,4,3,3,B,3,B.Tech
191,183,PHY101,Engineering Physics,5,S4331,3,The course delivery is moderate and could be improved. I would appreciate more doubt-solving time.,0.056,Neutral,3,3,3,3,C,3,B.Tech
192,183,PHY101,Engineering Physics,5,S0087,3,Teaching style is monotonous and lacks engagement. The session covered important fundamentals.,-0.243,Negative,3,3,4,4,B,3,B.Tech
193,183,PHY101,Engineering Physics,5,S2180,5,The pace of teaching is comfortable and structured. I would appreciate more doubt-solving time.,0.766,Positive,4,4,4,5,B,3,B.Tech
194,183,PHY101,Engineering Physics,5,S0880,5,I enjoy attending this class; explanations are very crisp. The teaching style influenced my learning positively.,0.717,Positive,5,2,4,4,C,3,B.Tech
195,183,PHY101,Engineering Physics,5,S1791,3,Some topics are clear while others require better explanation. The topic flow felt slightly abrupt.,0.085,Neutral,2,2,3,4,C,3,B.Tech
196,183,PHY101,Engineering Physics,5,S1129,5,The pace of teaching is comfortable and structured. The session coverage was appropriate.,0.824,Positive,4,5,4,5,B,3,B.Tech
197,183,PHY101,Engineering Physics,5,S0222,4,Amazing clarity and teaching methodology. I would appreciate more doubt-solving time.,0.501,Positive,5,4,2,5,C,3,B.Tech
198,183,PHY101,Engineering Physics,5,S1129,4,I enjoy attending this class; explanations are very crisp. This is for the course Power Systems.,0.408,Positive,4,5,3,5,C,3,B.Tech
199,183,PHY101,Engineering Physics,5,S1115,4,Explains concepts very effectively with relatable examples. The session coverage was appropriate.,0.595,Positive,4,5,3,4,B,3,B.Tech
200,183,PHY101,Engineering Physics,5,S3360,4,The pace of teaching is comfortable and structured. The lecture pacing affected my understanding.,0.426,Positive,5,3,5,4,C,3,B.Tech
201,523,ECE201,Signal Processing,1,S2535,5,The sessions are well-organized and engaging. This is for the course Power Systems.,1,Positive,5,5,4,5,C,3,B.Tech
202,523,ECE201,Signal Processing,1,S3917,4,The classes are very clear and engaging. The class environment was encouraging.,0.347,Positive,5,4,3,3,C,3,B.Tech
203,523,ECE201,Signal Processing,1,S0242,3,Teaching quality is acceptable but could be better. The session coverage was appropriate.,0.146,Neutral,4,2,3,4,B,3,B.Tech
204,523,ECE201,Signal Processing,1,S0999,3,"Sometimes the pace is fast, but manageable overall. The class environment was encouraging.",0.111,Neutral,2,3,3,3,B,3,B.Tech
205,523,ECE201,Signal Processing,1,S1961,5,The professor motivates us and clears doubts patiently. The examples used were memorable.,0.668,Positive,5,5,5,5,B,3,B.Tech
206,523,ECE201,Signal Processing,1,S1733,4,Amazing clarity and teaching methodology.,0.761,Positive,4,4,5,3,B,3,B.Tech
207,523,ECE201,Signal Processing,1,S2059,3,Teaching quality is acceptable but could be better. The class environment was encouraging.,-0.093,Neutral,3,3,3,2,A,3,B.Tech
208,523,ECE201,Signal Processing,1,S2735,4,Amazing clarity and teaching methodology. The topic flow felt slightly abrupt.,0.369,Positive,5,4,3,4,C,3,B.Tech
209,523,ECE201,Signal Processing,1,S2183,3,The class is okay but can be more interactive. The examples used were memorable.,0.17,Neutral,2,3,1,4,B,3,B.Tech
210,523,ECE201,Signal Processing,1,S1671,5,The professor motivates us and clears doubts patiently. The session coverage was appropriate.,0.888,Positive,4,5,5,5,A,3,B.Tech
211,523,ECE201,Signal Processing,2,S2553,3,Satisfactory experience but needs improvement in clarity. The teaching style influenced my learning positively.,0.017,Neutral,4,1,3,1,B,3,B.Tech
212,523,ECE201,Signal Processing,2,S2795,4,Explains concepts very effectively with relatable examples. The session covered important fundamentals.,0.583,Positive,4,4,4,4,B,3,B.Tech
213,523,ECE201,Signal Processing,2,S1048,3,The class is okay but can be more interactive. The examples used were memorable.,-0.195,Neutral,2,3,4,4,A,3,B.Tech
214,523,ECE201,Signal Processing,2,S0394,4,The professor motivates us and clears doubts patiently. The session covered important fundamentals.,0.56,Positive,4,5,5,5,A,3,B.Tech
215,523,ECE201,Signal Processing,2,S0879,5,"One of the best courses, very well taught. The topic flow felt slightly abrupt.",0.873,Positive,4,5,5,5,C,3,B.Tech
216,523,ECE201,Signal Processing,2,S2033,5,Interactive teaching style helps in understanding topics better. I would appreciate more doubt-solving time.,0.904,Positive,4,5,4,5,B,3,B.Tech
217,523,ECE201,Signal Processing,2,S3546,5,The professor motivates us and clears doubts patiently. The session coverage was appropriate.,0.797,Positive,5,5,5,5,C,3,B.Tech
218,523,ECE201,Signal Processing,2,S4605,4,The sessions are well-organized and engaging. The lecture pacing affected my understanding.,0.65,Positive,4,5,5,5,C,3,B.Tech
219,523,ECE201,Signal Processing,2,S1425,5,Amazing clarity and teaching methodology. This is for the course Power Systems.,1,Positive,5,4,4,5,C,3,B.Tech
220,523,ECE201,Signal Processing,2,S3615,2,Teaching needs major improvement. The lecture pacing affected my understanding.,-0.709,Negative,3,1,2,2,C,3,B.Tech
221,523,ECE201,Signal Processing,3,S2446,3,The class is okay but can be more interactive. The session covered important fundamentals.,-0.062,Neutral,3,5,3,2,A,3,B.Tech
222,523,ECE201,Signal Processing,3,S0533,4,Concepts are broken down in a simple and logical manner. The examples used were memorable.,0.282,Positive,5,3,3,3,A,3,B.Tech
223,523,ECE201,Signal Processing,3,S3033,4,"One of the best courses, very well taught.",0.651,Positive,4,4,4,5,C,3,B.Tech
224,523,ECE201,Signal Processing,3,S1202,5,"One of the best courses, very well taught. The session covered important fundamentals.",0.783,Positive,5,4,5,5,B,3,B.Tech
225,523,ECE201,Signal Processing,3,S4900,4,The professor motivates us and clears doubts patiently. This is for the course Power Systems.,0.671,Positive,4,4,5,4,B,3,B.Tech
226,523,ECE201,Signal Processing,3,S0661,3,The class is okay but can be more interactive. The topic flow felt slightly abrupt.,-0.095,Neutral,3,3,3,4,A,3,B.Tech
227,523,ECE201,Signal Processing,3,S1031,5,The sessions are well-organized and engaging. The session covered important fundamentals.,0.881,Positive,4,5,5,4,B,3,B.Tech
228,523,ECE201,Signal Processing,3,S0284,3,Teaching quality is acceptable but could be better. The topic flow felt slightly abrupt.,0.009,Neutral,1,3,3,2,A,3,B.Tech
229,523,ECE201,Signal Processing,3,S2000,4,The sessions are well-organized and engaging. The class environment was encouraging.,0.418,Positive,2,5,5,4,C,3,B.Tech
230,523,ECE201,Signal Processing,3,S1986,3,More real-life examples could improve understanding. I would appreciate more doubt-solving time.,-0.01,Neutral,3,3,3,3,A,3,B.Tech
231,523,ECE201,Signal Processing,4,S1507,4,Explains concepts very effectively with relatable examples. This is for the course Power Systems.,0.596,Positive,4,4,5,5,A,3,B.Tech
232,523,ECE201,Signal Processing,4,S4557,4,I enjoy attending this class; explanations are very crisp. The class environment was encouraging.,0.394,Positive,5,4,2,4,A,3,B.Tech
233,523,ECE201,Signal Processing,4,S0186,5,Amazing clarity and teaching methodology. The lecture pacing affected my understanding.,0.921,Positive,5,5,5,5,A,3,B.Tech
234,523,ECE201,Signal Processing,4,S0100,2,Doubts are not clarified properly during lectures. The examples used were memorable.,-0.468,Negative,2,1,2,3,A,3,B.Tech
235,523,ECE201,Signal Processing,4,S4391,4,Amazing clarity and teaching methodology. The session covered important fundamentals.,0.488,Positive,4,4,4,5,C,3,B.Tech
236,523,ECE201,Signal Processing,4,S4586,5,The sessions are well-organized and engaging. The class environment was encouraging.,0.777,Positive,5,4,4,5,C,3,B.Tech
237,523,ECE201,Signal Processing,4,S0687,5,Interactive teaching style helps in understanding topics better. The session covered important fundamentals.,0.723,Positive,5,5,4,5,A,3,B.Tech
238,523,ECE201,Signal Processing,4,S1593,3,"Average teaching, mixed understanding across topics. The session coverage was appropriate.",0.064,Neutral,2,4,2,4,A,3,B.Tech
239,523,ECE201,Signal Processing,4,S2560,3,"One of the best courses, very well taught. The topic flow felt slightly abrupt.",0.242,Positive,3,4,3,4,C,3,B.Tech
240,523,ECE201,Signal Processing,4,S1951,5,Concepts are broken down in a simple and logical manner.,0.868,Positive,5,5,5,5,B,3,B.Tech
241,523,ECE201,Signal Processing,5,S2441,4,The classes are very clear and engaging. The examples used were memorable.,0.486,Positive,3,5,3,3,A,3,B.Tech
242,523,ECE201,Signal Processing,5,S1884,4,The classes are very clear and engaging. The session coverage was appropriate.,0.45,Positive,3,3,4,3,C,3,B.Tech
243,523,ECE201,Signal Processing,5,S0888,4,The professor motivates us and clears doubts patiently. This is for the course Power Systems.,0.644,Positive,4,3,5,4,B,3,B.Tech
244,523,ECE201,Signal Processing,5,S1398,4,The professor motivates us and clears doubts patiently.,0.317,Positive,5,5,5,4,A,3,B.Tech
245,523,ECE201,Signal Processing,5,S4578,5,Interactive teaching style helps in understanding topics better. The examples used were memorable.,0.786,Positive,5,5,4,4,C,3,B.Tech
246,523,ECE201,Signal Processing,5,S1167,3,The class is okay but can be more interactive. The lecture pacing affected my understanding.,0.131,Neutral,3,3,3,3,B,3,B.Tech
247,523,ECE201,Signal Processing,5,S1482,3,"Sometimes the pace is fast, but manageable overall. The topic flow felt slightly abrupt.",0.01,Neutral,2,2,4,5,C,3,B.Tech
248,523,ECE201,Signal Processing,5,S2831,4,The pace of teaching is comfortable and structured. The topic flow felt slightly abrupt.,0.241,Positive,4,4,3,3,A,3,B.Tech
249,523,ECE201,Signal Processing,5,S4073,3,Teaching quality is acceptable but could be better. The class environment was encouraging.,0.135,Neutral,2,5,1,2,B,3,B.Tech
250,523,ECE201,Signal Processing,5,S2621,5,Amazing clarity and teaching methodology.,0.926,Positive,5,5,4,5,B,3,B.Tech
251,374,CE301,Geotechnical Engineering,1,S4302,4,Interactive teaching style helps in understanding topics better. I would appreciate more doubt-solving time.,0.302,Positive,4,2,5,4,B,3,B.Tech
252,374,CE301,Geotechnical Engineering,1,S3442,4,The pace of teaching is comfortable and structured. The class environment was encouraging.,0.388,Positive,4,4,3,4,C,3,B.Tech
253,374,CE301,Geotechnical Engineering,1,S0091,3,Teaching style is monotonous and lacks engagement. The lecture pacing affected my understanding.,-0.229,Negative,3,3,2,3,C,3,B.Tech
254,374,CE301,Geotechnical Engineering,1,S4261,5,The sessions are well-organized and engaging. The session coverage was appropriate.,0.999,Positive,5,4,5,5,C,3,B.Tech
255,374,CE301,Geotechnical Engineering,1,S2668,4,"One of the best courses, very well taught. I would appreciate more doubt-solving time.",0.476,Positive,3,5,4,5,B,3,B.Tech
256,374,CE301,Geotechnical Engineering,1,S1835,2,Teaching needs major improvement.,-0.315,Negative,2,2,2,3,B,3,B.Tech
257,374,CE301,Geotechnical Engineering,1,S2947,4,Interactive teaching style helps in understanding topics better. The lecture pacing affected my understanding.,0.536,Positive,2,4,5,5,B,3,B.Tech
258,374,CE301,Geotechnical Engineering,1,S0266,1,"Very little interaction, topics feel incomplete. This is for the course Quantum Mechanics.",-0.759,Negative,3,3,2,1,C,3,B.Tech
259,374,CE301,Geotechnical Engineering,1,S4832,2,Struggle to understand most concepts in class. The topic flow felt slightly abrupt.,-0.214,Negative,2,3,3,2,C,3,B.Tech
260,374,CE301,Geotechnical Engineering,1,S2320,5,The professor motivates us and clears doubts patiently. The examples used were memorable.,0.902,Positive,5,5,5,4,A,3,B.Tech
261,374,CE301,Geotechnical Engineering,2,S3921,3,Teaching needs major improvement. I would appreciate more doubt-solving time.,-0.208,Negative,3,3,3,2,A,3,B.Tech
262,374,CE301,Geotechnical Engineering,2,S2719,4,Interactive teaching style helps in understanding topics better. The class environment was encouraging.,0.313,Positive,4,5,5,4,C,3,B.Tech
263,374,CE301,Geotechnical Engineering,2,S3993,4,Interactive teaching style helps in understanding topics better. The session coverage was appropriate.,0.381,Positive,4,4,4,4,B,3,B.Tech
264,374,CE301,Geotechnical Engineering,2,S2616,3,"Average teaching, mixed understanding across topics. The topic flow felt slightly abrupt.",-0.018,Neutral,3,3,2,2,C,3,B.Tech
265,374,CE301,Geotechnical Engineering,2,S4879,4,"One of the best courses, very well taught. The examples used were memorable.",0.399,Positive,3,5,4,4,B,3,B.Tech
266,374,CE301,Geotechnical Engineering,2,S0628,4,The sessions are well-organized and engaging. The session covered important fundamentals.,0.627,Positive,4,5,5,3,B,3,B.Tech
267,374,CE301,Geotechnical Engineering,2,S0302,4,Interactive teaching style helps in understanding topics better. The teaching style influenced my learning positively.,0.714,Positive,4,5,5,5,A,3,B.Tech
268,374,CE301,Geotechnical Engineering,2,S4027,3,I understand most topics but sometimes feel disconnected. This is for the course Quantum Mechanics.,-0.065,Neutral,4,4,3,2,B,3,B.Tech
269,374,CE301,Geotechnical Engineering,2,S3152,5,Concepts are broken down in a simple and logical manner. The topic flow felt slightly abrupt.,1,Positive,5,5,4,5,A,3,B.Tech
270,374,CE301,Geotechnical Engineering,2,S3132,5,The pace of teaching is comfortable and structured. The session covered important fundamentals.,0.848,Positive,5,4,4,4,A,3,B.Tech
271,374,CE301,Geotechnical Engineering,3,S3135,5,The professor motivates us and clears doubts patiently. The topic flow felt slightly abrupt.,0.869,Positive,5,4,5,5,A,3,B.Tech
272,374,CE301,Geotechnical Engineering,3,S4822,4,Concepts are broken down in a simple and logical manner. The session covered important fundamentals.,0.365,Positive,5,3,4,5,C,3,B.Tech
273,374,CE301,Geotechnical Engineering,3,S1019,3,Some topics are clear while others require better explanation. The session coverage was appropriate.,-0.039,Neutral,3,2,4,2,B,3,B.Tech
274,374,CE301,Geotechnical Engineering,3,S0653,3,The class is okay but can be more interactive. This is for the course Quantum Mechanics.,0.105,Neutral,3,3,3,4,B,3,B.Tech
275,374,CE301,Geotechnical Engineering,3,S4550,3,Teaching style is monotonous and lacks engagement. The examples used were memorable.,-0.251,Negative,4,3,2,3,C,3,B.Tech
276,374,CE301,Geotechnical Engineering,3,S2401,4,The sessions are well-organized and engaging. The topic flow felt slightly abrupt.,0.418,Positive,3,4,4,4,C,3,B.Tech
277,374,CE301,Geotechnical Engineering,3,S2927,3,"Sometimes the pace is fast, but manageable overall. I would appreciate more doubt-solving time.",-0.192,Neutral,2,3,1,2,A,3,B.Tech
278,374,CE301,Geotechnical Engineering,3,S3557,4,Amazing clarity and teaching methodology. The class environment was encouraging.,0.456,Positive,4,5,4,2,B,3,B.Tech
279,374,CE301,Geotechnical Engineering,3,S2280,4,"One of the best courses, very well taught. The topic flow felt slightly abrupt.",0.645,Positive,4,4,5,5,B,3,B.Tech
280,374,CE301,Geotechnical Engineering,3,S4594,3,Teaching quality is acceptable but could be better. This is for the course Quantum Mechanics.,0.032,Neutral,3,2,2,3,C,3,B.Tech
281,374,CE301,Geotechnical Engineering,4,S2631,5,Amazing clarity and teaching methodology. I would appreciate more doubt-solving time.,1,Positive,5,5,5,5,B,3,B.Tech
282,374,CE301,Geotechnical Engineering,4,S3291,4,The sessions are well-organized and engaging. The session covered important fundamentals.,0.567,Positive,4,4,4,4,A,3,B.Tech
283,374,CE301,Geotechnical Engineering,4,S1246,3,"Sometimes the pace is fast, but manageable overall. The session covered important fundamentals.",0.084,Neutral,5,3,2,3,C,3,B.Tech
284,374,CE301,Geotechnical Engineering,4,S4984,2,Examples are insufficient and unclear. The topic flow felt slightly abrupt.,-0.501,Negative,2,2,1,2,A,3,B.Tech
285,374,CE301,Geotechnical Engineering,4,S2010,4,The professor motivates us and clears doubts patiently. This is for the course Quantum Mechanics.,0.516,Positive,5,4,3,4,B,3,B.Tech
286,374,CE301,Geotechnical Engineering,4,S3542,4,I enjoy attending this class; explanations are very crisp. I would appreciate more doubt-solving time.,0.496,Positive,3,4,5,5,B,3,B.Tech
287,374,CE301,Geotechnical Engineering,4,S1106,3,More real-life examples could improve understanding. The topic flow felt slightly abrupt.,0.161,Neutral,2,4,4,4,C,3,B.Tech
288,374,CE301,Geotechnical Engineering,4,S1207,4,"One of the best courses, very well taught.",0.493,Positive,3,4,4,4,A,3,B.Tech
289,374,CE301,Geotechnical Engineering,4,S0486,3,"Sometimes the pace is fast, but manageable overall. The teaching style influenced my learning positively.",-0.052,Neutral,2,3,3,4,B,3,B.Tech
290,374,CE301,Geotechnical Engineering,4,S4816,4,The professor motivates us and clears doubts patiently. I would appreciate more doubt-solving time.,0.659,Positive,3,4,4,2,C,3,B.Tech
291,374,CE301,Geotechnical Engineering,5,S1647,4,The professor motivates us and clears doubts patiently. This is for the course Quantum Mechanics.,0.512,Positive,5,5,4,3,C,3,B.Tech
292,374,CE301,Geotechnical Engineering,5,S4692,5,"One of the best courses, very well taught. This is for the course Quantum Mechanics.",0.899,Positive,5,5,5,5,B,3,B.Tech
293,374,CE301,Geotechnical Engineering,5,S4508,5,"One of the best courses, very well taught.",0.782,Positive,4,5,4,4,A,3,B.Tech
294,374,CE301,Geotechnical Engineering,5,S0549,5,The classes are very clear and engaging. The session coverage was appropriate.,1,Positive,5,5,5,4,C,3,B.Tech
295,374,CE301,Geotechnical Engineering,5,S2771,5,The professor motivates us and clears doubts patiently.,0.847,Positive,5,5,5,5,A,3,B.Tech
296,374,CE301,Geotechnical Engineering,5,S3871,4,"One of the best courses, very well taught. This is for the course Quantum Mechanics.",0.321,Positive,5,5,3,4,A,3,B.Tech
297,374,CE301,Geotechnical Engineering,5,S3670,4,Interactive teaching style helps in understanding topics better. I would appreciate more doubt-solving time.,0.622,Positive,4,5,5,5,A,3,B.Tech
298,374,CE301,Geotechnical Engineering,5,S2835,4,The pace of teaching is comfortable and structured. I would appreciate more doubt-solving time.,0.461,Positive,4,4,5,4,A,3,B.Tech
299,374,CE301,Geotechnical Engineering,5,S2760,4,I enjoy attending this class; explanations are very crisp. I would appreciate more doubt-solving time.,0.446,Positive,4,1,2,5,C,3,B.Tech
300,374,CE301,Geotechnical Engineering,5,S3272,4,Interactive teaching style helps in understanding topics better. The session covered important fundamentals.,0.735,Positive,4,4,3,3,B,3,B.Tech
301,214,PHY301,Electromagnetism,1,S3096,5,The professor motivates us and clears doubts patiently. The class environment was encouraging.,0.864,Positive,4,5,5,5,A,1,B.Tech
302,214,PHY301,Electromagnetism,1,S2286,3,I understand most topics but sometimes feel disconnected. The lecture pacing affected my understanding.,0.013,Neutral,3,3,5,3,C,1,B.Tech
303,214,PHY301,Electromagnetism,1,S0977,4,Amazing clarity and teaching methodology. The session coverage was appropriate.,0.693,Positive,5,4,4,4,A,1,B.Tech
304,214,PHY301,Electromagnetism,1,S0182,4,Interactive teaching style helps in understanding topics better. I would appreciate more doubt-solving time.,0.395,Positive,5,4,5,3,C,1,B.Tech
305,214,PHY301,Electromagnetism,1,S3123,3,"The pace is too fast, making the class hard to understand. The teaching style influenced my learning positively.",-0.242,Negative,4,3,2,2,B,1,B.Tech
306,214,PHY301,Electromagnetism,1,S3487,4,Concepts are broken down in a simple and logical manner.,0.691,Positive,4,4,5,5,B,1,B.Tech
307,214,PHY301,Electromagnetism,1,S4625,3,"The pace is too fast, making the class hard to understand. The topic flow felt slightly abrupt.",-0.298,Negative,3,4,2,3,B,1,B.Tech
308,214,PHY301,Electromagnetism,1,S2851,4,Explains concepts very effectively with relatable examples. The session covered important fundamentals.,0.816,Positive,4,3,3,4,A,1,B.Tech
309,214,PHY301,Electromagnetism,1,S4418,5,Explains concepts very effectively with relatable examples.,0.889,Positive,3,5,4,5,C,1,B.Tech
310,214,PHY301,Electromagnetism,1,S1018,4,Concepts are broken down in a simple and logical manner.,0.619,Positive,3,4,4,4,C,1,B.Tech
311,214,PHY301,Electromagnetism,2,S1559,3,Satisfactory experience but needs improvement in clarity. The session covered important fundamentals.,-0.181,Neutral,4,3,4,4,A,1,B.Tech
312,214,PHY301,Electromagnetism,2,S0328,5,"One of the best courses, very well taught. The teaching style influenced my learning positively.",1,Positive,5,5,5,5,B,1,B.Tech
313,214,PHY301,Electromagnetism,2,S1329,5,Interactive teaching style helps in understanding topics better. The session coverage was appropriate.,1,Positive,5,5,4,5,A,1,B.Tech
314,214,PHY301,Electromagnetism,2,S4992,4,Amazing clarity and teaching methodology. The session covered important fundamentals.,0.459,Positive,5,4,4,5,A,1,B.Tech
315,214,PHY301,Electromagnetism,2,S3217,5,I enjoy attending this class; explanations are very crisp.,0.814,Positive,5,4,5,5,C,1,B.Tech
316,214,PHY301,Electromagnetism,2,S2031,4,The pace of teaching is comfortable and structured. The lecture pacing affected my understanding.,0.803,Positive,5,5,5,5,C,1,B.Tech
317,214,PHY301,Electromagnetism,2,S4542,4,"One of the best courses, very well taught. The teaching style influenced my learning positively.",0.505,Positive,4,4,4,3,B,1,B.Tech
318,214,PHY301,Electromagnetism,2,S0347,4,The classes are very clear and engaging.,0.497,Positive,4,4,4,3,A,1,B.Tech
319,214,PHY301,Electromagnetism,2,S3942,4,The pace of teaching is comfortable and structured. The examples used were memorable.,0.584,Positive,3,5,4,4,B,1,B.Tech
320,214,PHY301,Electromagnetism,2,S4527,4,The professor motivates us and clears doubts patiently. The examples used were memorable.,0.309,Positive,3,3,5,4,A,1,B.Tech
321,214,PHY301,Electromagnetism,3,S3799,5,Concepts are broken down in a simple and logical manner. The session coverage was appropriate.,0.796,Positive,4,5,4,4,C,1,B.Tech
322,214,PHY301,Electromagnetism,3,S1555,4,Amazing clarity and teaching methodology. The examples used were memorable.,0.311,Positive,3,5,5,4,C,1,B.Tech
323,214,PHY301,Electromagnetism,3,S2600,4,"One of the best courses, very well taught. The teaching style influenced my learning positively.",0.437,Positive,3,3,4,4,C,1,B.Tech
324,214,PHY301,Electromagnetism,3,S3639,4,Amazing clarity and teaching methodology. The topic flow felt slightly abrupt.,0.45,Positive,4,3,3,4,C,1,B.Tech
325,214,PHY301,Electromagnetism,3,S0122,5,Explains concepts very effectively with relatable examples. The teaching style influenced my learning positively.,1,Positive,5,4,5,5,B,1,B.Tech
326,214,PHY301,Electromagnetism,3,S3311,5,I enjoy attending this class; explanations are very crisp. The session covered important fundamentals.,0.644,Positive,5,5,5,5,B,1,B.Tech
327,214,PHY301,Electromagnetism,3,S1921,5,The sessions are well-organized and engaging. The examples used were memorable.,0.861,Positive,5,4,5,3,C,1,B.Tech
328,214,PHY301,Electromagnetism,3,S4538,4,I enjoy attending this class; explanations are very crisp. The teaching style influenced my learning positively.,0.228,Positive,3,4,4,3,A,1,B.Tech
329,214,PHY301,Electromagnetism,3,S2108,4,The pace of teaching is comfortable and structured. The session covered important fundamentals.,0.527,Positive,5,4,3,3,B,1,B.Tech
330,214,PHY301,Electromagnetism,3,S4768,3,The pace of teaching is comfortable and structured. The topic flow felt slightly abrupt.,0.249,Positive,2,2,4,3,B,1,B.Tech
331,214,PHY301,Electromagnetism,4,S2759,2,The concepts were unclear and difficult to follow. The session coverage was appropriate.,-0.759,Negative,1,2,2,2,B,1,B.Tech
332,214,PHY301,Electromagnetism,4,S2966,4,Explains concepts very effectively with relatable examples. The topic flow felt slightly abrupt.,0.646,Positive,5,5,4,5,A,1,B.Tech
333,214,PHY301,Electromagnetism,4,S2186,4,Explains concepts very effectively with relatable examples. This is for the course Calculus.,0.64,Positive,4,4,3,3,B,1,B.Tech
334,214,PHY301,Electromagnetism,4,S3267,3,Amazing clarity and teaching methodology. The examples used were memorable.,0.235,Positive,2,1,4,4,A,1,B.Tech
335,214,PHY301,Electromagnetism,4,S0261,3,The concepts were unclear and difficult to follow. The session covered important fundamentals.,-0.413,Negative,3,3,2,3,A,1,B.Tech
336,214,PHY301,Electromagnetism,4,S1176,5,Concepts are broken down in a simple and logical manner. I would appreciate more doubt-solving time.,0.917,Positive,5,5,5,5,C,1,B.Tech
337,214,PHY301,Electromagnetism,4,S4164,4,I understand most topics but sometimes feel disconnected. The examples used were memorable.,0.146,Neutral,4,4,4,3,C,1,B.Tech
338,214,PHY301,Electromagnetism,4,S2831,5,Concepts are broken down in a simple and logical manner. The topic flow felt slightly abrupt.,0.818,Positive,5,5,5,5,A,1,B.Tech
339,214,PHY301,Electromagnetism,4,S4945,5,The sessions are well-organized and engaging. The session coverage was appropriate.,1,Positive,5,5,5,5,C,1,B.Tech
340,214,PHY301,Electromagnetism,4,S0032,4,The pace of teaching is comfortable and structured. The class environment was encouraging.,0.438,Positive,4,4,4,4,B,1,B.Tech
341,214,PHY301,Electromagnetism,5,S4843,2,"Very little interaction, topics feel incomplete.",-0.218,Negative,2,3,1,2,C,1,B.Tech
342,214,PHY301,Electromagnetism,5,S4697,3,The class is okay but can be more interactive. The topic flow felt slightly abrupt.,0.024,Neutral,3,5,3,3,A,1,B.Tech
343,214,PHY301,Electromagnetism,5,S1244,5,I enjoy attending this class; explanations are very crisp. The examples used were memorable.,0.996,Positive,5,5,5,5,A,1,B.Tech
344,214,PHY301,Electromagnetism,5,S3329,4,"One of the best courses, very well taught. The class environment was encouraging.",0.558,Positive,4,5,4,4,B,1,B.Tech
345,214,PHY301,Electromagnetism,5,S3350,4,Interactive teaching style helps in understanding topics better.,0.341,Positive,3,5,3,5,C,1,B.Tech
